Designator,Mid X,Mid Y,Rotation,Layer
J21,104.122415,78.74,0.0,top
J22,44.0736,20.9496,90.0,top
J23,106.7125,11.19,90.0,top
J24,106.7125,25.4,90.0,top
R1,17.526,95.25,0.0,top
R10,65.786,97.536,270.0,top
R11,65.786,92.202,90.0,top
R12,84.328,97.536,270.0,top
R13,84.328,92.202,90.0,top
R14,17.526,57.15,0.0,top
R15,22.1102,2.62,0.0,top
R16,25.5402,2.62,180.0,top
R17,32.2702,2.62,0.0,top
R18,35.7002,2.62,180.0,top
R19,42.4302,2.62,0.0,top
R2,74.231,2.62,0.0,top
R20,45.8602,2.62,180.0,top
R21,52.5902,2.62,0.0,top
R22,56.0202,2.62,180.0,top
R23,62.7802,2.62,0.0,top
R24,66.1802,2.62,180.0,top
R26,76.771,36.5252,0.0,top
R27,81.471,36.5252,180.0,top
R28,8.382,59.436,270.0,top
R29,8.382,54.102,90.0,top
R3,78.931,2.62,180.0,top
R30,27.432,59.436,270.0,top
R31,27.432,54.102,90.0,top
R32,46.482,59.436,270.0,top
R33,46.482,54.102,90.0,top
R34,65.532,59.499,270.0,top
R35,65.532,54.102,90.0,top
R36,84.328,59.436,270.0,top
R37,84.328,54.102,90.0,top
R39,24.6502,36.5252,0.0,top
R4,8.382,97.536,270.0,top
R40,28.0802,36.5252,180.0,top
R41,34.8102,36.5252,0.0,top
R42,38.2402,36.5252,180.0,top
R43,44.9702,36.5252,0.0,top
R44,48.4002,36.5252,180.0,top
R45,55.1302,36.5252,0.0,top
R46,58.5602,36.5252,180.0,top
R47,65.2902,36.5252,0.0,top
R48,68.7202,36.5252,180.0,top
R5,8.382,92.202,90.0,top
R6,27.432,97.536,270.0,top
R7,27.432,92.202,90.0,top
R8,46.736,97.536,270.0,top
R9,46.736,92.202,90.0,top
U1,73.401,5.16,90.0,top
U10,66.931,89.15,270.0,top
U11,83.177,100.6,90.0,top
U12,85.727,89.15,270.0,top
U13,21.2852,5.16,90.0,top
U14,26.3652,5.16,90.0,top
U15,31.4452,5.16,90.0,top
U16,36.5252,5.16,90.0,top
U17,41.6052,5.16,90.0,top
U18,46.6852,5.16,90.0,top
U19,51.7652,5.16,90.0,top
U2,79.751,5.16,90.0,top
U20,56.8452,5.16,90.0,top
U21,61.9252,5.16,90.0,top
U22,67.0052,5.16,90.0,top
U23,75.946,33.9852,270.0,top
U24,82.296,33.9852,270.0,top
U25,7.225,62.5,90.0,top
U26,9.775,51.05,270.0,top
U27,26.281,62.5,90.0,top
U28,28.831,51.05,270.0,top
U29,45.331,62.5,90.0,top
U3,7.225,100.6,90.0,top
U30,47.881,51.05,270.0,top
U31,64.381,62.5,90.0,top
U32,66.931,51.05,270.0,top
U33,83.177,62.5,90.0,top
U34,85.854,51.05,270.0,top
U35,23.8252,33.9852,270.0,top
U36,28.9052,33.9852,270.0,top
U37,33.9852,33.9852,270.0,top
U38,39.0652,33.9852,270.0,top
U39,44.1452,33.9852,270.0,top
U4,9.775,89.15,270.0,top
U40,49.2252,33.9852,270.0,top
U41,54.3052,33.9852,270.0,top
U42,59.3852,33.9852,270.0,top
U43,64.4652,33.9852,270.0,top
U44,69.5452,33.9852,270.0,top
U5,26.281,100.6,90.0,top
U6,28.831,89.15,270.0,top
U7,45.331,100.6,90.0,top
U8,47.881,89.15,270.0,top
U9,64.381,100.6,90.0,top
