Designator,Mid X,Mid Y,Rotation,Layer
C1,20.3915,51.562,0.0,top
C2,16.8355,51.562,180.0,top
C3,20.37,35.814,0.0,top
C4,16.814,35.814,180.0,top
C5,20.3915,19.812,0.0,top
C6,16.814,19.812,180.0,top
D1,25.862,40.64,270.0,top
D2,25.862,33.782,270.0,top
D3,25.862,25.47,270.0,top
D4,25.827,16.58,270.0,top
F1,4.826,5.08,0.0,top
J1,32.766,41.91,0.0,top
J2,2.286,41.91,0.0,top
RN1,29.072,40.71,0.0,top
RN2,29.094,35.63,0.0,top
RN3,29.072,30.55,0.0,top
RN4,29.072,25.47,0.0,top
RN5,29.072,20.39,0.0,top
RN6,29.072,15.31,0.0,top
U1,14.986,43.815,0.0,top
U2,14.986,27.94,0.0,top
U3,14.986,12.065,0.0,top
